c-native,1.582816
c-drio,1.41672
c-c-empty,1.41011,0
c-c-empty,1.406671,0
c-c-dm,1.445633,0
c-c-dm,1.460596,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.458936,0
c-c-dm-errs-bad,1.57978,0
c-c-dm-errs-stats,16,0,19984,0,16,19984,1998
c-native,1.583276
c-drio,1.408358
c-c-empty,1.406432,0
c-c-empty,1.40636,0
c-c-dm,1.441308,0
c-c-dm,1.446103,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.44155,0
c-c-dm-errs-bad,1.569848,0
c-c-dm-errs-stats,60,0,19940,0,60,19940,1993
c-native,1.582883
c-drio,1.406172
c-c-empty,1.406604,0
c-c-empty,1.419939,0
c-c-dm,1.445901,0
c-c-dm,1.441385,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.447566,0
c-c-dm-errs-bad,1.566143,0
c-c-dm-errs-stats,16,0,19984,0,16,19984,1998
c-native,1.585616
c-drio,1.409867
c-c-empty,1.421337,0
c-c-empty,1.41938,0
c-c-dm,1.445222,0
c-c-dm,1.45053,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.444164,0
c-c-dm-errs-bad,1.613768,0
c-c-dm-errs-stats,641,0,19359,0,641,19359,1936
c-native,1.58316
c-drio,1.413289
c-c-empty,1.407865,0
c-c-empty,1.411183,0
c-c-dm,1.444955,0
c-c-dm,1.442903,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.442952,0
c-c-dm-errs-bad,1.574002,0
c-c-dm-errs-stats,119,0,19881,0,119,19881,1988
c-native,1.592953
c-drio,1.452737
c-c-empty,1.410916,0
c-c-empty,1.411008,0
c-c-dm,1.480848,0
c-c-dm,1.476167,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.44307,0
c-c-dm-errs-bad,1.576851,0
c-c-dm-errs-stats,123,0,19877,0,123,19877,1987
c-native,1.582891
c-drio,1.407971
c-c-empty,1.40873,0
c-c-empty,1.406567,0
c-c-dm,1.467505,0
c-c-dm,1.483733,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.444103,0
c-c-dm-errs-bad,1.566256,0
c-c-dm-errs-stats,544,0,19456,0,544,19456,1945
c-native,1.589328
c-drio,1.408998
c-c-empty,1.453118,0
c-c-empty,1.408382,0
c-c-dm,1.460604,0
c-c-dm,1.443699,0
c-c-dm-stats,0,421,19579,421,0,19579,0
c-c-dm-errs-good,1.500469,0
c-c-dm-errs-bad,1.602998,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,2000
c-native,1.582726
c-drio,1.414693
c-c-empty,1.407166,0
c-c-empty,1.410292,0
c-c-dm,1.445926,0
c-c-dm,1.443871,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.442249,0
c-c-dm-errs-bad,1.567969,0
c-c-dm-errs-stats,60,0,19940,0,60,19940,1993
c-native,1.590667
c-drio,1.409425
c-c-empty,1.413262,0
c-c-empty,1.40804,0
c-c-dm,1.441074,0
c-c-dm,1.454346,0
c-c-dm-stats,0,0,20000,0,0,20000,0
c-c-dm-errs-good,1.440925,0
c-c-dm-errs-bad,1.568817,0
c-c-dm-errs-stats,59,0,19941,0,59,19941,1994
